Reference; Quantity; Footprint; Value; Description; Size; Tolerance; Type; Voltage; Power; Current; Decription; 
R209 R211 ;2;SMD-0805;10;'Thick or thin film resistor;'0805;'1%;';';'100mW;';';
R210 R302 R501 R601 R801 ;5;SMD-0805;47;'Thick or thin film resistor;'0805;'1%;';';'100mW;';';
R304 R702 R703 R705 ;4;SMD-0805;100;'Thick or thin film resistor;'0805;'1%;';';'100mW;';';
R305 R306 R307 R309 R310 ;5;SMD-0805;75;'Thick or thin film resistor;'0805;'1%;';';'100mW;';';
R311 ;1;SMD-0805;360;'Thick or thin film resistor;'0805;'1%;';';'100mW;';';
R312 ;1;SMD-0805;91;'Thick or thin film resistor;'0805;'1%;';';'100mW;';';
R411 R412 R413 R414 R415 R416 R417 R418 R419 R420 R502 R506 R507 R613 R614 R615 R623 R624 R625 R834 R835 ;21;SMD-0805;N/F;'Thick or thin film resistor;'0805;'1%;';';'100mW;';';
R422 ;1;SMD-0805;47k;'Thick or thin film resistor;'0805;'1%;';';'100mW;';';
R423 R424 R425 R427 R429 R430 R431 R432 R510 R609 R610 R618 R620 R621 R622 R812 R813 R822 R823 ;19;SMD-0805;1k;'Thick or thin film resistor;'0805;'1%;';';'100mW;';';
R503 R504 R505 ;3;SMD-0805;33R;'Thick or thin film resistor;'0805;'1%;';';'100mW;';';
R508 ;1;SMD-0805;1Meg;'Thick or thin film resistor;'0805;'1%;';';'100mW;';';
R509 ;1;SMD-0805;0R;'Thick or thin film resistor;'0805;'1%;';';'100mW;';';
R616 R617 ;2;SMD-0805;4k7;'Thick or thin film resistor;'0805;'1%;';';'100mW;';';
R619 ;1;SMD-0805;6K49;'Thick or thin film resistor;'0805;'1%;';';'100mW;';';
R701 R707 R837 R838 ;4;SMD-0805;2k2;'Thick or thin film resistor;'0805;'1%;';';'100mW;';';
R706 ;1;SMD-0805;10k7;'Thick or thin film resistor;'0805;'1%;';';'100mW;';';
R839 ;1;SMD-0805;43R2;'Thick or thin film resistor;'0805;'1%;';';'100mW;';';
SW701 ;1;SW_TACT_SMD;SWITCH;'6mm x 6mm SMD tactile switch - e.g. TE FSM2JSMA;';';';';';';';
TP101 TP701 ;2;TP-2mm;PIN;
TP401 TP402 TP403 TP404 TP405 TP406 TP407 TP408 TP409 TP410 TP411 TP412 ;12;TP-TH-1mm;PIN;
TP801 ;1;TP-1mm;PIN;'Text description;';';';';';';';
U101 U102 U103 ;3;IC-SC70-6;NC7WZ16P6X;
U201 U202 ;2;IC-SOT23-6;RT7285C;'Richtek RT7285C 1.5A 18V Step Down Converter;';';';';';';';
U301 ;1;IC_SPDIF_OPTO;IC-SPDIF-RX-OPTO;'TOSLINK receiver e.g. CLIFF FC684205R;';';';';';';';
U302 ;1;IC_SOIC_14;74HC04;'74HC04 Hex Inverter - SOIC-14;';';';';';';'74HC04 Hex Inverter - SOIC-14;
U303 ;1;IC-SC70-6;NC7WZ16P6X;'UHS Dual Buffer;';';';';';';';
U304 ;1;IC_SPDIF_OPTO;IC-SPDIF-TX-OPTO;'TOSLINK transmitter e.g. CLIFF FC684205T;';';';';';';';
U501 ;1;IC-SC70-6;NC7WZ04P6X;'NC7WZ04 TinyLogic UHS Dual Inverter;';';';';';';';
U502 ;1;IC-MSOP-10;CS2200-CP;'Cirrus Logic CS2200-CP Fractional-N Frequency Synthesizer;';';';';';';';
U601 ;1;IC-LQFP48_7x7;KSZ8081MLX;'Microchip KSZ8081MLXCA LQFP-48 10Base-T/100Base-TX Ethernet PHY;';';';';';';';
U701 ;1;IC-SOT23-6;NCP308;'On Semi NCP308 SOT-23-6 TSOP-6 Supervisor;';';';';';';';
U801 ;1;IC_SOIC_8;IC-FLASH-SPI;'SPI/Quad SPI Flash Memory - SOIC 8 - For use with XE-216-TQ128, XEF216-512-TQ128 has internal flash;';';';';';';';
U802 ;1;IC-TQ128-XMOS-HF;XE216-512-TQ128;'XMOS 200 XE216-512-TQ128 Microcontroller;';';';';';';';
X501 ;1;XTAL_HC49_TH;24M000;'HC49 24.000MHz Crystal – 30ppm or better – 18pF;';';';';';';';
X601 ;1;XTAL_HC49_TH;25M000;'HC49 25.000MHz Crystal – 50ppm or better – 18pF;';';';';';';';
